lat,lng,placeCategory,placeCity,placeLink,placeTitle,placeAddDate,placeViewsCount,placeCommentCount,placeRating,placeAvgRating
53.4338017,17.7231574,Kolejowe,Olszewka,https://urbexy.pl/miejsce/wiadukt-kolejowy/,Wiadukt kolejowy,23/02/2022,17,0,Array,Brak ocen
49.6085965,19.9728709,Hotele i pensjonaty,Rabka-Zdrój,https://urbexy.pl/miejsce/hotel/,Hotel,19/02/2022,47,0,Array,Brak ocen
52.4743115,16.7883968,Inne,Kiekrz,https://urbexy.pl/miejsce/osrodek-szkolenia-policji/,Ośrodek Szkolenia Policji,18/02/2022,74,0,Array,Brak ocen
52.9826405,14.8286381,Domy,Tarnowo,https://urbexy.pl/miejsce/poniemiecki-opuszczony-dom/,Poniemiecki opuszczony dom.,17/02/2022,49,0,Array,5
50.8089721,19.1563797,Hotele i pensjonaty,Częstochowa,https://urbexy.pl/miejsce/domki-letniskowe/,Domki letniskowe,16/02/2022,57,1,Array,1
50.4858661,18.4111829,Domy,Błotnica Strzelecka,https://urbexy.pl/miejsce/dom-z-warsztatem/,Dom z warsztatem,14/02/2022,62,0,Array,Brak ocen
52.2149565,20.9260824,Industrialne,Warszawa,https://urbexy.pl/miejsce/opuszczony-budynek-z-hala/,Opuszczony budynek z halą,13/02/2022,80,0,Array,Brak ocen
52.1040538,18.1677604,Restauracje i kluby,Główiew,https://urbexy.pl/miejsce/opuszczony-klub-nocny-las-vegas/,Opuszczony klub nocny &#8220;Las Vegas&#8221;,12/02/2022,97,0,Array,Brak ocen
52.3556834,21.2237835,Domy,Wołomin,https://urbexy.pl/miejsce/spalona-willa-danuta/,Spalona willa Danuta,10/02/2022,54,0,Array,Brak ocen
51.251024,22.5891834,Industrialne,Lublin,https://urbexy.pl/miejsce/opuszczona-garbarnia-3/,Opuszczona Garbarnia,8/02/2022,91,1,Array,5
52.2249078,14.9645591,Hotele i pensjonaty,Gądków Wielki,https://urbexy.pl/miejsce/osrodek-wypoczynkowy-pkp/,Ośrodek Wypoczynkowy PKP,4/02/2022,109,0,Array,Brak ocen
50.1944845,20.0033569,Domy,Chrzanów,https://urbexy.pl/miejsce/opuszczony-dom-23/,Opuszczony Dom,31/01/2022,105,0,Array,Brak ocen
49.9827993,18.7582976,Rolnicze,Warszowice,https://urbexy.pl/miejsce/stadnina-koni-i-szkola-nauki-jazdy-konnej/,Stadnina koni i szkoła nauki jazdy konnej,28/01/2022,346,5,Array,5
51.1224081,17.5614202,Restauracje i kluby,Bierutów,https://urbexy.pl/miejsce/opuszczona-cukrownia-w-bierutowie/,Opuszczona cukrownia w Bierutowie,27/01/2022,122,0,Array,Brak ocen
50.0726897,19.840567,Domy,Kraków,https://urbexy.pl/miejsce/opuszczone-domy-najprawdopodobniej-po-pozarze/,opuszczone domy (najprawdopodobniej po pożarze),26/01/2022,86,0,Array,Brak ocen
52.3762181,16.9110408,Inne,Poznań,https://urbexy.pl/miejsce/opuszczone-przedszkole-2/,Opuszczone przedszkole,25/01/2022,112,0,Array,Brak ocen
50.8732192,20.746235,Domy,Leszczyny,https://urbexy.pl/miejsce/opuszczona-budowa/,opuszczona budowa,24/01/2022,90,0,Array,1
51.4570755,16.0178357,Domy,Jędrzychów,https://urbexy.pl/miejsce/opuszczony-pgr-7/,Opuszczony PGR,23/01/2022,86,0,Array,Brak ocen
49.9889527,20.9979455,Zamki i pałace,Zawada,https://urbexy.pl/miejsce/kazamata-podziemna/,Kazamata Podziemna,22/01/2022,102,0,Array,5
50.1514499,19.4194011,Domy,Chrzanów,https://urbexy.pl/miejsce/maly-opuszczony-dom/,Mały opuszczony dom,18/01/2022,98,0,Array,Brak ocen
50.1346643,19.4128418,Domy,Chrzanów,https://urbexy.pl/miejsce/opuszczony-dom-22/,Opuszczony dom,17/01/2022,109,0,Array,Brak ocen
51.2182551,22.5511926,Industrialne,Lublin,https://urbexy.pl/miejsce/opuszczone-hangary/,Opuszczone hangary,16/01/2022,138,0,Array,Brak ocen
52.0571184,21.7591766,Inne,Kamionka,https://urbexy.pl/miejsce/opuszczony-kosciol-mariawicki/,Opuszczony kościół  mariawicki,15/01/2022,102,0,Array,Brak ocen
52.0572141,21.7589352,Inne,Kamionka,https://urbexy.pl/miejsce/kaplica-mariawitow-z-1910-roku/,Kaplica Mariawitów  z 1910 roku,13/01/2022,106,0,Array,Brak ocen
50.2874747,18.7360239,Inne,Zabrze,https://urbexy.pl/miejsce/opuszczona-wieza-cisnien-4/,Opuszczona wieża ciśnień,11/01/2022,97,0,Array,Brak ocen
50.1499323,19.4003226,Inne,Chrzanów,https://urbexy.pl/miejsce/opusczone-zbiorniki-wodne/,Opusczone zbiorniki wodne,9/01/2022,141,1,Array,Brak ocen
49.9902477,21.0007216,Inne,Tarnów,https://urbexy.pl/miejsce/porzucona-plansza-szachowa/,Porzucona Plansza Szachowa,7/01/2022,145,0,Array,Brak ocen
50.0057928,21.0025515,Zamki i pałace,Tarnów,https://urbexy.pl/miejsce/spichlerz-ksiazat-sanguszkow/,Spichlerz Książąt Sanguszków,5/01/2022,194,0,Array,5
49.9978399,20.9758589,Podziemia,Tarnów,https://urbexy.pl/miejsce/stary-tunel-waskotorowki-i-strusinki/,Stary Tunel Wąskotorówki i Strusinki,4/01/2022,163,0,Array,4
50.0185513,20.9375234,Podziemia,Tarnów,https://urbexy.pl/miejsce/burzowiec-kanal-ulgi-kolektor-przelewowy/,"Burzowiec (kanał ulgi, kolektor przelewowy)",3/01/2022,148,0,Array,Brak ocen
49.9925291,20.9668507,Kolejowe,Tarnów,https://urbexy.pl/miejsce/opuszczona-wagonownia/,Opuszczona Wagonownia,2/01/2022,211,0,Array,4.5
49.9647244,20.9743461,Zamki i pałace,Radlna,https://urbexy.pl/miejsce/dwor-ksiecia-sanguszki-z-1880-roku/,Dwór Księcia Sanguszki z 1880 roku,27/12/2021,199,0,Array,3
49.9944586,20.8394699,Domy,Łętowice,https://urbexy.pl/miejsce/stary-dom-2/,Stary dom,24/12/2021,145,0,Array,Brak ocen
53.2067513,17.8368499,Rolnicze,Dąbrówka Nowa,https://urbexy.pl/miejsce/stara-mleczarnia-2/,Stara mleczarnia,24/12/2021,154,0,Array,Brak ocen
49.9227835,19.0544048,Domy,Bestwinka,https://urbexy.pl/miejsce/opuszczone-dom/,Opuszczone dom,24/12/2021,242,1,Array,3.5
50.0068987,20.8453765,Inne,Łętowice,https://urbexy.pl/miejsce/porzucona-naczepa-tir/,Porzucona naczepa TIR,24/12/2021,148,0,Array,Brak ocen
49.9112605,19.0288656,Industrialne,Czechowice-Dziedzice,https://urbexy.pl/miejsce/opuszczona-rafineria/,Opuszczona rafineria,19/12/2021,620,3,Array,5
51.1439251,18.3677968,Inne,Toplin,https://urbexy.pl/miejsce/opuszczona-palac-w-bojanowie/,Opuszczona pałac w Bojanowie,18/12/2021,162,0,Array,Brak ocen
50.0126344,20.9956428,Inne,Tarnów,https://urbexy.pl/miejsce/spalony-zabytkowy-mlyn-szancera-w-centrum-miasta/,Spalony zabytkowy Młyn Szancera w centrum Miasta,16/12/2021,151,0,Array,3
50.0020708,20.7084453,Domy,Sterkowiec,https://urbexy.pl/miejsce/opuszczony-domek-przy-autostradzie/,Opuszczony domek przy autostradzie.,10/12/2021,408,0,Array,4
52.3195763,21.0103869,Industrialne,Warszawa,https://urbexy.pl/miejsce/zaklad-prefabrykacji-betonu-wodpol-bud/,Zakład prefabrykacji betonu WODPOL-BUD,5/12/2021,240,0,Array,Brak ocen
50.447305,16.8823788,Industrialne,Złoty Stok,https://urbexy.pl/miejsce/przychodnia-naturoterapia/,Przychodnia Naturoterapia,4/12/2021,191,0,Array,Brak ocen
52.5009373,17.0004871,Rolnicze,Annowo,https://urbexy.pl/miejsce/opuszczony-folwark-annowo/,Opuszczony Folwark Annowo,2/12/2021,229,1,Array,Brak ocen
50.2905731,19.499166,Domy,,https://urbexy.pl/miejsce/ujkow-stary-pozostalosci-po-wiosce-w-lesie/,Ujków Stary &#8211; pozostałości po wiosce w lesie,29/11/2021,97,0,Array,Brak ocen
52.2708197,21.3067389,Zamki i pałace,Okuniew,https://urbexy.pl/miejsce/ruiny-palacu-lubienskich-z-1820-roku/,Ruiny Pałacu Łubieńskich z 1820 roku,28/11/2021,219,1,Array,3
53.8420388,19.3686296,Kolejowe,Wartule,https://urbexy.pl/miejsce/most-kolejowy-w-srodku-niczego-wartule/,Most kolejowy w środku niczego WARTULE,26/11/2021,197,0,Array,5
50.0467503,19.9291831,Domy,Kraków,https://urbexy.pl/miejsce/nieukonczone-osiedle-wielorodzinne/,nieukończone osiedle wielorodzinne,24/11/2021,226,0,Array,Brak ocen
50.1483133,19.4663975,Industrialne,Trzebinia,https://urbexy.pl/miejsce/krakowskie-przedsiebiorstwo-budowy-piecow-przemyslowych/,KRAKOWSKIE PRZEDSIĘBIORSTWO BUDOWY PIECÓW PRZEMYSŁOWYCH,21/11/2021,253,0,Array,5
49.9955053,20.9716706,Kolejowe,Tarnów,https://urbexy.pl/miejsce/stary-most/,Stary most,15/11/2021,180,0,Array,Brak ocen
53.1004147,18.0650425,Biurowce,Bydgoszcz,https://urbexy.pl/miejsce/opuszczony-biurowiec-2/,Opuszczony biurowiec,13/11/2021,362,1,Array,Brak ocen
49.9917566,20.9206054,Domy,Tarnów,https://urbexy.pl/miejsce/opuszczony-budynek-7/,Opuszczony budynek,12/11/2021,234,0,Array,Brak ocen
50.2259178,18.6175883,Kolejowe,Nieborowice,https://urbexy.pl/miejsce/stacja-kolejowa-nieborowice/,Stacja Kolejowa Nieborowice,11/11/2021,268,0,Array,Brak ocen
49.717203,19.281655,Rolnicze,Gilowice,https://urbexy.pl/miejsce/stara-owczarnia-2/,Stara owczarnia,10/11/2021,195,1,Array,Brak ocen
50.1736188,19.4738071,Domy,Trzebinia,https://urbexy.pl/miejsce/opuszczony-dom-ksiedza/,Opuszczony dom księdza,7/11/2021,288,0,Array,5
51.7317064,15.6979179,Inne,Nowa Sól,https://urbexy.pl/miejsce/opuszczona-fabryka-blatow/,Opuszczona fabryka blatów,6/11/2021,221,0,Array,5
54.0759589,20.6020689,Hotele i pensjonaty,Kłębowo,https://urbexy.pl/miejsce/osrodek-wypoczynkowy-switez/,ośrodek wypoczynkowy świtez,5/11/2021,299,3,Array,5
50.047019,19.929741,Biurowce,Kraków,https://urbexy.pl/miejsce/opuszczony-pustostan-2/,Opuszczony pustostan,2/11/2021,399,1,Array,4.75
52.4944237,17.1017633,Domy,Karłowice,https://urbexy.pl/miejsce/opuszczona-willa-2/,opuszczona willa,1/11/2021,212,0,Array,Brak ocen
54.599554,18.2412475,Podziemia,Wejherowo,https://urbexy.pl/miejsce/spalona-winiarnia-wejherowo/,Spalona Winiarnia Wejherowo,31/10/2021,262,0,Array,5
53.3146084,16.4357078,Zamki i pałace,Kłębowiec,https://urbexy.pl/miejsce/ruiny-palacu-2/,Ruiny pałacu,30/10/2021,144,0,Array,Brak ocen
50.5251597,21.8248129,Inne,Wydrza,https://urbexy.pl/miejsce/opuszczona-fabryka-nielegalnych-papierosow/,Opuszczona fabryka nielegalnych papierosów,29/10/2021,232,0,Array,Brak ocen
50.012069,19.9402606,Inne,Kraków,https://urbexy.pl/miejsce/osadniki-sodowe-solvay-biale-morza/,Osadniki Sodowe Solvay &#8211; &#8220;Białe Morza&#8221;,27/10/2021,361,0,Array,5
50.0242503,20.9107026,Domy,Tarnów,https://urbexy.pl/miejsce/opuszczony-dworek-z-1921/,Opuszczony dworek z 1921,25/10/2021,345,1,Array,5
54.6329464,18.1351072,Domy,Góra,https://urbexy.pl/miejsce/pustostan-paradyz/,Pustostan Paradyż,24/10/2021,300,0,Array,Brak ocen
53.4642857,19.3185005,Kolejowe,Lipinki,https://urbexy.pl/miejsce/opuszczony-budynek-dawnej-stacji-kolejowej-lipinki/,Opuszczony budynek dawnej stacji kolejowej Lipinki.,23/10/2021,216,0,Array,Brak ocen
50.0917841,19.5300087,Domy,Regulice,https://urbexy.pl/miejsce/opuszczony-dom-20/,Opuszczony dom,22/10/2021,125,0,Array,Brak ocen
52.4444817,16.8150312,Inne,Poznań,https://urbexy.pl/miejsce/opuszczona-szkolka-lesna/,Opuszczona szkółka leśna,21/10/2021,322,1,Array,Brak ocen
53.1294443,18.0747132,Inne,Bydgoszcz,https://urbexy.pl/miejsce/opuszczona-wieza-cisnien-3/,opuszczona wieża ciśnień,19/10/2021,279,0,Array,Brak ocen
53.1631502,18.1496876,Rolnicze,Bydgoszcz,https://urbexy.pl/miejsce/stara-owczarnia/,Stara owczarnia,16/10/2021,365,0,Array,5
50.09176,19.5298827,Domy,Regulice,https://urbexy.pl/miejsce/opuszczony-dom-19/,Opuszczony dom,14/10/2021,178,0,Array,5
52.4468947,20.7741058,Rolnicze,Góra,https://urbexy.pl/miejsce/opuszczony-pgr-6/,Opuszczony pgr,10/10/2021,298,0,Array,Brak ocen
49.7072268,18.8489208,Hotele i pensjonaty,Ustroń,https://urbexy.pl/miejsce/schronisko-mlodziezowe-wiecha/,Schronisko Młodzieżowe &#8220;Wiecha”,8/10/2021,782,6,Array,4.8888888888889
54.1466264,19.4049196,Podziemia,Elbląg,https://urbexy.pl/miejsce/schron-przeciwlotniczy-3/,Schron przeciwlotniczy.,7/10/2021,234,0,Array,Brak ocen
54.1507925,19.4179487,Podziemia,Elbląg,https://urbexy.pl/miejsce/schron-pkp/,schron PKP,7/10/2021,258,0,Array,Brak ocen
54.1587989,19.401804,Podziemia,Elbląg,https://urbexy.pl/miejsce/schron-pod-blokiem/,Schron pod blokiem,7/10/2021,199,0,Array,Brak ocen
52.975948,17.1194404,Domy,Margonin,https://urbexy.pl/miejsce/dom-z-czerwonej-cegly-z-zachowanym-wyposazeniem/,Dom z czerwonej cegły z zachowanym wyposażeniem,5/10/2021,351,0,Array,Brak ocen
51.9857655,20.9236819,Restauracje i kluby,Prace Duże,https://urbexy.pl/miejsce/willa-dziada-z-wolomina/,Willa Dziada z Wołomina.,4/10/2021,396,1,Array,5
53.9851148,17.0841908,Hotele i pensjonaty,Świeszyno,https://urbexy.pl/miejsce/opuszczony-osrodek-wczasowy-sloneczny-stok/,Opuszczony ośrodek wczasowy &#8220;słoneczny stok&#8221;,26/09/2021,368,0,Array,Brak ocen
54.1773313,19.392052,Kolejowe,Elbląg,https://urbexy.pl/miejsce/opuszczony-dworzec-pkp-3/,Opuszczony dworzec PKP,21/09/2021,335,0,Array,Brak ocen
50.1250647,19.3908115,Hotele i pensjonaty,Chrzanów,https://urbexy.pl/miejsce/opuszczony-hotel-z-wyposazeniem/,Opuszczony hotel z wyposażeniem,18/09/2021,766,1,Array,5
54.1473208,19.4234607,Militarne,Elbląg,https://urbexy.pl/miejsce/opuszczone-koszary-2/,Opuszczone koszary.,16/09/2021,373,3,Array,Brak ocen
52.5532437,17.7979749,Industrialne,Święte,https://urbexy.pl/miejsce/opuszczony-palac-brzozowiec-wraz-z-fabryka-wody/,Opuszczony pałac Brzozówiec wraz z fabryką wody,15/09/2021,276,0,Array,Brak ocen
50.2499594,18.9086375,Domy,Ruda Śląska,https://urbexy.pl/miejsce/opuszczone-surowe-bloki/,Opuszczone Surowe bloki,14/09/2021,356,0,Array,Brak ocen
53.009658,18.6229098,Militarne,Toruń,https://urbexy.pl/miejsce/belweder-torun/,Belweder Toruń,12/09/2021,347,1,Array,5
51.8497413,19.3981547,Industrialne,Zgierz,https://urbexy.pl/miejsce/opuszczona-nowoczesna-fabryka/,Opuszczona Nowoczesna Fabryka,11/09/2021,583,3,Array,4.8
50.2496147,18.9081721,Inne,Ruda Śląska,https://urbexy.pl/miejsce/niewielki-bunkier-w-kochlowicach/,niewielki bunkier w kochłowicach,10/09/2021,273,0,Array,Brak ocen
54.2592083,22.4254024,Kolejowe,Górne,https://urbexy.pl/miejsce/opuszczony-dworzec-kolejowy-gorne/,Opuszczony dworzec kolejowy Górne,8/09/2021,266,0,Array,Brak ocen
49.9994106,20.8413608,Inne,Łętowice,https://urbexy.pl/miejsce/opuszczony-budynek-4/,Opuszczony budynek,7/09/2021,241,0,Array,Brak ocen
52.9056894,17.4746051,Inne,Wapno,https://urbexy.pl/miejsce/wapno-miasto-ktore-zapadlo-sie-pod-ziemie/,"Wapno – miasto, które zapadło się pod ziemię",5/09/2021,323,1,Array,5
50.8092789,19.1524838,Inne,Częstochowa,https://urbexy.pl/miejsce/opuszczony-park-miniatur-sakralnych-zlota-gora-w-czestochowie/,Opuszczony Park Miniatur Sakralnych Złota Góra w Częstochowie,4/09/2021,454,4,Array,5
50.8639582,20.6298083,Domy,Kielce,https://urbexy.pl/miejsce/opuszczony-dom-z-wyposazeniem-2/,Opuszczony dom z wyposażeniem,3/09/2021,354,2,Array,5
54.3056044,22.3012751,Militarne,Gołdap,https://urbexy.pl/miejsce/kasyno-oficerskie-2/,Kasyno oficerskie,2/09/2021,325,0,Array,Brak ocen
