id,author,slug,title,voivodeship,town,date,date_gmt,modified,modified_gmt,lat,lng,zoom,address,desc,category,rating
19454,19454,opuszczona-willa-4,Opuszczona Willa,śląskie,Jaworzno,2022-04-13T13:01:29,2022-04-13T11:01:29,2022-04-13T13:01:29,2022-04-13T11:01:29,50.2345793,19.3020988,13,"Jana III Sobieskiego, 43-602, Silesian Voivodeship Poland","<p>Willa (z 1928 roku?) W 2013 jeszcze kto\u015b tam mieszka\u0142 teraz stoi opuszczona. Na necie ju\u017c od kiklu dobrych lat widnieje aukcja lecz nikt nie kupuje a stan coraz bardziej si\u0119 pogarsza. Niby teren remontowany a jednak nic si\u0119 nie dzieje, mieszka tam czasami tylko kilka bezdomnych (sama jak by\u0142am to nikogo nie by\u0142o) Na g\xf3r\u0119 nie polecam wchodzi\u0107 cie\u0144kie deski i pewnie mo\u017ce si\u0119 zapa\u015b\u0107 ale polecam zobaczy\u0107 d\xf3\u0142 naprawd\u0119 \u0142adne pomieszczenia i imponuj\u0105ca konstrukcja. Wej\u015bcie z przodu oraz z prawej strony + piwnice do kt\xf3rych mo\u017cna wej\u015b\u0107 z lewej storny przez dziury po oknach. </p>\n",Domy,Brak ocen
19461,19461,piekarnia-4,Piekarnia,małopolskie,Nowy Sącz,2022-04-13T12:54:27,2022-04-13T10:54:27,2022-04-13T12:54:27,2022-04-13T10:54:27,49.6087807,20.7182863,18,"1 Brygady 89, 33-300 Nowy Sącz, województwo małopolskie Polska","<p>Jest to opuszczona piekarnia. Stoi pusta od ponad 20 lat. W \u015brodku znajdziemy m.in. auto, r\xf3\u017cnego rodzaju sprz\u0119ty mi nieznane, pozosta\u0142y piec oraz papiery odno\u015bnie piekarni. Znajduj\u0105 si\u0119 tam dwa pi\u0119tra+ piwnica pierwsze pi\u0119tro jest to piekarnia z hal\u0105 produkcyjn\u0105 a drugie pi\u0119tro jest to cze\u015b\u0107 mieszkalna TYLKO TAM UWAGA trzeba uwa\u017ca\u0107 na szk\u0142o kt\xf3re jest na ziemi. Znajduj\u0119 si\u0119 r\xf3wnie\u017c strych ale nic ciekawego tam nie znalaz\u0142em. Wed\u0142ug mnie kozackie miejsce na urbex polecam ka\u017cdemu. Je\u015bli kto\u015b wybierze si\u0119 na urbex to nie wiem jak z wej\u015bciem ale jest ono przez gara\u017c (teraz mo\u017ce by\u0107 ono zamkni\u0119te nie wiem tego) i polecam zachowywa\u0107 si\u0119 cicho gdy\u017c obok znajduj\u0105 si\u0119 domy prywatne Zapraszam r\xf3wnie\u017c na m\xf3j kana\u0142 tam jest to bardziej opisane. (s\u0105 dwie cz\u0119\u015bci tego urbexu)  Trudno te\u017c znale\u015b\u0107 informacje na temat tego budynku.</p>\n",Inne,Brak ocen
19420,19420,opuszczony-dom-przy-torach,Opuszczony dom przy torach,dolnośląskie,Bolesławiec,2022-04-10T14:54:06,2022-04-10T12:54:06,2022-04-10T14:54:06,2022-04-10T12:54:06,51.2669725,15.5766512,20,"Polna, 59700 Bolesławiec, województwo dolnośląskie Polska",<p>Obiekt jest do\u015b\u0107 du\u017cy posiada parter oraz 1 pi\u0119tro okna s\u0105 zamurowane ale jest dziura w \u015bcianie przez kt\xf3r\u0105 mo\u017cna z \u0142atwo\u015bci\u0105 przej\u015b\u0107.</p>\n,Domy,Brak ocen
19643,19643,elektrocieplownia-2,Elektrocieplownia,wielkopolskie,Turek,2022-04-09T17:51:19,2022-04-09T15:51:19,2022-04-09T17:51:19,2022-04-09T15:51:19,51.5686126,18.5173917,6,"62-700 Turek, województwo wielkopolskie Polska",<p>Super miejsce szkoda \u017ce nie d\u0142ugo zniknie . Bylem tam kilkana\u015bcie razy i za ka\u017cdym razem  nowe emocje . Obiekt w trakcie wyburzania ale da si\u0119 jeszcze zwiedzi\u0107 . Ochrona jest ale pilnuje maszyn hale olbrzymie </p>\n,Inne,Brak ocen
19641,19641,opuszczony-osrodek-kolonijny-2,Opuszczony ośrodek kolonijny,łódzkie,Inowłódz,2022-04-08T09:21:12,2022-04-08T07:21:12,2022-04-08T09:21:12,2022-04-08T07:21:12,51.5183572,20.2153909,16,"Legnicka, 97-215 Inowłódz Legnica, województwo łódzkie Polska","<p>Opuszczony o\u015bredek kolonijny.  Pere\u0142ka urbexu, kilka budynk\xf3w, \u015bwietlica, pokoje, kuchnia z wyposa\u017ceniem, sto\u0142\xf3wka, dokumenty. O\u015brodek w coraz gorszym stanie, zaczyna si\u0119 zawala\u0107 i gni\u0107, Ostatni dzwonek zobaczyc w ca\u0142o\u015bci ten piekny ubiekt. Wej\u015bcie przez dziure w ogrodzeniu.  1,5- 2 godziny spokojnego zwiedzania. </p>\n",Hotele i pensjonaty,Brak ocen
19411,19411,opuszczona-fabryka-8,Opuszczona fabryka,łódzkie,Zgierz,2022-04-08T09:12:29,2022-04-08T07:12:29,2022-04-08T09:12:29,2022-04-08T07:12:29,51.8528271,19.4064353,17,"Łódzka 12c, 95-100 Zgierz, województwo łódzkie Polska","<p>Trzypi\u0119trowa opuszczona fabryka za kortami tenisowymi u Leszka (\u0142\xf3dzka 12A). Dost\u0119p jest stosunkowo \u0142atwy, nale\u017cy wej\u015b\u0107 przez okno (chocia\u017c jest ono do\u015b\u0107 ma\u0142e. Budynek nie jest ruin\u0105, jednak widoczne s\u0105 du\u017ce \u015blady zniszcze\u0144 (np. zniszczona pod\u0142oga na pierwszym pi\u0119trze). W \u015brodku znajduje si\u0119 du\u017co pozosta\u0142o\u015bci po fabryce. Obok znajduje si\u0119 opuszczony sklep ""T\u0119cza""</p>\n",Industrialne,Brak ocen
19399,19399,dom-przy-drodze,Dom przy drodze,małopolskie,Kępa Bogumiłowicka,2022-04-05T08:49:42,2022-04-05T06:49:42,2022-04-05T08:49:42,2022-04-05T06:49:42,50.0072701,20.910354,18,"55, 33-100 Kępa Bogumiłowicka, województwo małopolskie Polska","<p>Spokojnie mo\u017cna wbi\u0107 do \u015brodka, nie op\u0142aca si\u0119 jecha\u0107 z daleka, kalendarz, kt\xf3ry znalaz\u0142em jest z 2002. Dach jest w nie najlepszym stanie. Jako ciekawostk\u0119 dodam, \u017ce dach\xf3wki s\u0105 z nieistniej\u0105cej ju\u017c cegielni Tarnowianka.</p>\n",Domy,Brak ocen
19388,19388,uroczysko-ledow,Uroczysko Lędów,lubuskie,Lędów,2022-04-04T12:09:55,2022-04-04T10:09:55,2022-04-04T12:09:55,2022-04-04T10:09:55,52.3933207,15.2158208,19,"dojazd pożarowy 40, województwo lubuskie Polska","<p>Opuszczone miasto niedaleko Ma\u0142uszowa, bardzo ciekawe miejsce, za to nale\u017cy do strefy militarnej. Najciekawsza jest wie\u017ca dawnego ko\u015bcio\u0142a.</p>\n",Domy,4
19373,19373,ruiny-zamku-ksiazecego-w-swiebodzinie,Ruiny zamku Książęcego w Świebodzinie,lubuskie,Świebodzin,2022-04-03T09:44:34,2022-04-03T07:44:34,2022-04-03T09:44:34,2022-04-03T07:44:34,52.2508764,15.5357113,18,"Zamkowa, 66-200 Świebodzin, województwo lubuskie Polska","<p>UWAGA! Zwiedzanie ruin jest niebezpieczne i ryzykowne. Latarka obowi\u0105zkowa, ponadto obiekt jest po\u0142o\u017cony na terenie Lubuskiego Centrum Ortopedii, wi\u0119c nie braknie tam kamer i ochroniarzy. Cz\u0119\u015b\u0107 budynku grozi zawaleniem, no ale jak si\u0119 patrzy na te ruiny, to a\u017c si\u0119 chce tam wej\u015b\u0107!</p>\n",Zamki i pałace,3
19348,19348,opuszczona-kamienica-mieszkalna,Opuszczona kamienica mieszkalna,śląskie,Piekary Śląskie,2022-04-02T08:39:21,2022-04-02T06:39:21,2022-04-02T08:39:21,2022-04-02T06:39:21,50.3373943,18.9760736,14,"Harcerska 33, 41-946, województwo śląskie Polska","<p>Rozleg\u0142a kamienica mieszkalna, najprawdopodobniej dla rodzin ZGH ""Orze\u0142 Bia\u0142y"". Brak dost\u0119pu do \u015brodka, wszystkie okna na parterze i drzwi zosta\u0142y zamurowane. Od strony podw\xf3rza lokalsi urz\u0105dzaj\u0105 sobie pijackie posiad\xf3wki, wi\u0119c warto uwa\u017ca\u0107.</p>\n",Domy,Brak ocen
